,Team,Start X,Start Y,Start Frame,From,to_team,End X,End Y,End Frame,To,play
0,attack,-3.82176870748299,-26.42857142857143,0,10,attack,-1.2251907602812064,-15.509501386116254,22.0,8,Liverpool [3] - 0 Bournemouth
1,attack,1.9219765757648892,-14.54411303583232,42,8,attack,37.69917329922262,-13.07840214667624,108.0,9,Liverpool [3] - 0 Bournemouth
2,attack,37.69917329922262,-13.07840214667624,108,9,attack,38.3921780415568,-11.399255386374698,118.0,11,Liverpool [3] - 0 Bournemouth
0,attack,-14.782312925170057,12.428571428571425,16,4,attack,34.93324135430725,15.642436968868063,78.0,10,Bayern 0 - [1] Liverpool
0,attack,-2.725015799919513,-23.227410156740138,14,26,attack,-22.792201335270114,-29.150386391625105,42.0,10,Fulham 0 - [1] Liverpool
1,attack,-41.64188307343179,-17.94158707349636,118,10,attack,-52.28204030333224,-8.99215623769321,154.0,9,Fulham 0 - [1] Liverpool
2,attack,-52.28204030333224,-8.99215623769321,154,9,attack,-45.764325457855456,-3.4501777256449566,168.0,10,Fulham 0 - [1] Liverpool
0,defense,37.46261368557993,-4.839628724821675,22,1778,defense,30.090510307416164,-6.085719361982357,48.0,23197,Southampton 1 - [2] Liverpool
2,attack,31.396483426126956,7.328752193133479,72,14,attack,9.654792499171077,0.1855989749627335,110.0,11,Southampton 1 - [2] Liverpool
0,attack,-20.163315785637877,-17.4000308451268,56,9,attack,-22.066094480711268,9.230919809016173,90.0,14,Liverpool [2] - 0 Porto
1,attack,-24.583930945693755,10.014329564080699,120,14,attack,-42.69167077008197,16.131798486021946,146.0,66,Liverpool [2] - 0 Porto
2,attack,-47.446792026185484,13.068629726792619,164,66,attack,-50.10017484763055,-1.6518729287110014,178.0,9,Liverpool [2] - 0 Porto
0,attack,36.41496598639455,-17.285714285714278,36,9,attack,28.497682332996142,-0.5029776336922689,58.0,5,Porto 0 - [2] Liverpool
1,attack,22.950751175507996,4.039095054219768,86,5,attack,8.148299319727883,18.857142857142858,126.0,66,Porto 0 - [2] Liverpool
2,attack,-7.120467627273001,16.20532299968405,174,66,attack,-31.25900555384544,-6.100716686010464,212.0,11,Porto 0 - [2] Liverpool
0,attack,51.82990510529262,-33.839884331890985,92,66,attack,46.20128208258776,-4.567656241553068,120.0,27,Liverpool [4] - 0 Barcelona
0,attack,12.330612244897956,17.42857142857143,0,10,attack,24.576192292542558,-23.906123374722835,42.0,66,Liverpool [1] - 0 Wolves
1,attack,24.576192292542558,-23.906123374722835,42,66,attack,27.75635515849468,-14.89906836352597,70.0,14,Liverpool [1] - 0 Wolves
2,attack,27.75635515849468,-14.89906836352597,70,14,attack,44.680793320281765,-22.35329507857675,108.0,66,Liverpool [1] - 0 Wolves
3,attack,44.680793320281765,-22.35329507857675,108,66,attack,46.51806967508189,0.9015087110827334,136.0,10,Liverpool [1] - 0 Wolves
0,attack,-34.34571050088347,27.19777593054745,28,14,attack,-17.8108843537415,20.999999999999986,56.0,66,Liverpool [3] - 0 Norwich
1,attack,-19.25699644148144,20.481179416133102,80,66,attack,-43.03161933296138,-2.2984552378860843,116.0,27,Liverpool [3] - 0 Norwich
1,attack,23.018836615125288,27.27665821147877,82,10,attack,49.91396079768883,19.212369353693067,142.0,9,Liverpool [2] - 1 Chelsea
2,attack,49.91396079768883,19.212369353693067,142,9,attack,41.454506041472996,7.917003178861059,162.0,10,Liverpool [2] - 1 Chelsea
1,attack,19.637861545094758,-12.837002716028003,48,9,attack,43.1269348819475,-5.037609726098776,88.0,10,Liverpool [2] - 1 Newcastle
0,attack,-10.196858445701046,-15.43080008786176,26,26,attack,-12.853097056258802,-0.8817157627738568,52.0,14,Liverpool [2] - 0 Salzburg
1,attack,-14.180035758097782,-1.9894163269290888,58,14,attack,-21.10451396241279,2.5281039306410213,74.0,11,Liverpool [2] - 0 Salzburg
2,attack,-21.10451396241279,2.5281039306410213,74,11,attack,-15.317167970428839,5.8946910912363455,98.0,14,Liverpool [2] - 0 Salzburg
3,attack,-15.317167970428839,5.8946910912363455,98,14,attack,-46.04294108744006,24.84994292888145,148.0,66,Liverpool [2] - 0 Salzburg
4,attack,-46.04294108744006,24.84994292888145,148,66,attack,-47.18197737124896,3.7115712294208985,164.0,26,Liverpool [2] - 0 Salzburg
1,attack,12.060448066668092,-25.425007523843746,52,5,attack,22.659950002615233,-25.01673588433812,82.0,9,Genk 0 - [3] Liverpool
2,attack,22.659950002615233,-25.01673588433812,82,9,attack,29.742566896889464,-14.964129335894128,102.0,11,Genk 0 - [3] Liverpool
3,attack,32.4193962714963,-14.03801232921897,118,11,attack,44.00928948512774,-6.742844529800454,152.0,10,Genk 0 - [3] Liverpool
0,attack,12.440841015378522,24.284477301458683,0,66,attack,-13.574669308999505,-24.136325504840965,76.0,26,Liverpool [2] - 0 Man City
1,attack,-22.764998132284923,-23.708562959861816,100,26,attack,-43.95498226902074,5.508465960130976,140.0,11,Liverpool [2] - 0 Man City
0,attack,24.371655854524285,5.037081505000044,8,20,attack,6.52820459011507,-13.883677203878737,54.0,10,Liverpool [1] - 0 Everton
1,attack,-13.319449849096776,-18.519631616642904,112,10,attack,-36.282881627313735,-6.512191870380629,146.0,27,Liverpool [1] - 0 Everton
0,attack,34.393640671437836,7.406257578021305,0,2131,attack,21.470488097622475,19.471809994399706,42.0,66,Liverpool [2] - 0 Everton
1,attack,17.878733099031336,20.107844009736766,62,66,attack,-13.25421627122903,-19.292657906469273,106.0,10,Liverpool [2] - 0 Everton
2,attack,-35.54257781659789,-12.077201441781476,214,10,attack,-45.78092400020917,-7.490804766624482,244.0,23,Liverpool [2] - 0 Everton
1,attack,-19.93460934854305,1.2447099085864302,82,8,attack,-43.87152627468041,-8.491562394108227,126.0,11,Bournemouth 0 - 3 Liverpool
1,attack,26.90575427201185,4.28433009236041,32,9,attack,-0.8734393034110521,-17.69723757421266,98.0,10,Liverpool [1] - 0 Watford
2,attack,-0.8734393034110521,-17.69723757421266,98,10,attack,-34.79627511777899,-14.822375078118252,156.0,11,Liverpool [1] - 0 Watford
0,attack,35.401138337646316,-9.449952500548294,24,7,attack,44.667764019650576,-22.66496388926632,60.0,66,Leicester 0 - [3] Liverpool
1,attack,44.667764019650576,-22.66496388926632,60,66,attack,44.492413039090046,1.8873239201606293,78.0,9,Leicester 0 - [3] Liverpool
